"resistance_id","resistance","contact_material_1_id","contact_material_2_id","mat_1_ra","mat_2_ra","mat_1_rz","mat_2_rz","mat_1_rsm","mat_2_rsm","mat_1_rmr","mat_2_rmr","ambient_pressure","interface_temperature","contact_pressure","heat_flux","description","ref_id"
3,8.36842,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.129,230000.0,0.0,LPM法测量得到,4
4,6.1336,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.216,230000.0,0.0,LPM法测量得到,4
5,4.11741,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-164.115,230000.0,0.0,LPM法测量得到,4
6,3.41296,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125.614,230000.0,0.0,LPM法测量得到,4
7,2.7085,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.3061,230000.0,0.0,LPM法测量得到,4
8,2.2834,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.458,230000.0,0.0,LPM法测量得到,4
9,2.21053,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3264,230000.0,0.0,LPM法测量得到,4
10,6.99738,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.782,340000.0,0.0,LMP,4
11,4.33508,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-184.593,340000.0,0.0,LMP,4
12,3.75785,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-172.901,340000.0,0.0,LMP,4
13,3.21597,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-152.752,340000.0,0.0,LMP,4
14,2.6623,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.15,340000.0,0.0,LMP,4
15,2.23822,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.8963,340000.0,0.0,LMP,4
16,1.96728,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.3988,340000.0,0.0,LMP,4
17,1.7199,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9047,340000.0,0.0,LMP,4
18,6.65576,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.264,570000.0,0.0,LMP,4
19,4.07592,1,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.08,570000.0,0.0,LMP,4
